Var,Region,Activity,Commodity,Value
"xs","Oceania","","Util_Cons-c",4.1748764E+5
"ps","Oceania","","Util_Cons-c",1.000000000
"xs","EastAsia","","Util_Cons-c",3.4335576E+6
"ps","EastAsia","","Util_Cons-c",1.000000000
"xs","SEAsia","","Util_Cons-c",4.8780328E+5
"ps","SEAsia","","Util_Cons-c",1.000000000
"xs","SouthAsia","","Util_Cons-c",6.4393471E+5
"ps","SouthAsia","","Util_Cons-c",1.000000000
"xs","NAmerica","","Util_Cons-c",2.9612972E+6
"ps","NAmerica","","Util_Cons-c",1.000000000
"xs","LatinAmer","","Util_Cons-c",6.9293282E+5
"ps","LatinAmer","","Util_Cons-c",1.000000000
"xs","EU_28","","Util_Cons-c",3.0452898E+6
"ps","EU_28","","Util_Cons-c",1.000000000
"xs","MENA","","Util_Cons-c",9.0590650E+5
"ps","MENA","","Util_Cons-c",1.000000000
"xs","SSA","","Util_Cons-c",1.9615235E+5
"ps","SSA","","Util_Cons-c",1.000000000
"xs","RestofWorld","","Util_Cons-c",9.1448463E+5
"ps","RestofWorld","","Util_Cons-c",1.000000000
